"","codmunres","uf","total"
"3708",521520,"GO",2
"3709",521523,"GO",35
"3710",521525,"GO",1
"3711",521530,"GO",3
"3712",521560,"GO",8
"3713",521570,"GO",7
"3714",521580,"GO",1
"3715",521630,"GO",2
"3716",521640,"GO",3
"3717",521690,"GO",1
"3718",521710,"GO",5
"3719",521720,"GO",2
"3720",521730,"GO",10
"3721",521740,"GO",8
"3722",521760,"GO",32
"3723",521770,"GO",1
"3724",521800,"GO",6
"3725",521805,"GO",2
"3726",521810,"GO",1
"3727",521830,"GO",2
"3728",521839,"GO",2
"3729",521850,"GO",14
"3730",521860,"GO",3
"3731",521870,"GO",4
"3732",521878,"GO",3
"3733",521880,"GO",34
"3734",521890,"GO",1
"3735",521900,"GO",1
"3736",521910,"GO",2
"3737",521920,"GO",1
"3738",521930,"GO",6
"3739",521940,"GO",1
"3740",521960,"GO",1
"3741",521971,"GO",1
"3742",521973,"GO",1
"3743",521975,"GO",29
"3744",521980,"GO",2
"3745",521990,"GO",1
"3746",522010,"GO",7
"3747",522015,"GO",2
"3748",522020,"GO",9
"3749",522040,"GO",3
"3750",522045,"GO",64
"3751",522060,"GO",2
"3752",522068,"GO",2
"3753",522100,"GO",5
"3754",522119,"GO",4
"3755",522140,"GO",53
"3756",522145,"GO",3
"3757",522150,"GO",3
"3758",522160,"GO",11
"3759",522170,"GO",1
"3760",522185,"GO",53
"3761",522200,"GO",1
"3762",530010,"DF",440
